Feature Name,Description,Data Type,Input Type,Answer Options
category_Lifestyle and environment_ts_Morning.evening.person..chronotype....Instance.0_2,Do you consider yourself to be?,logical,Select one answer,2 : More a 'morning' than 'evening' person
category_Lifestyle and environment_ts_Morning.evening.person..chronotype....Instance.0_1,Do you consider yourself to be?,logical,Select one answer,1 : Definitely a 'morning' person
category_Lifestyle and environment_ts_Nap.during.day...Instance.0_2,Do you have a nap during the day?,logical,Select one answer,2 : Sometimes
category_Lifestyle and environment_ts_Nap.during.day...Instance.0_1,Do you have a nap during the day?,logical,Select one answer,1 : Never/rarely
category_Lifestyle and environment_ts_Nap.during.day...Instance.0_3,Do you have a nap during the day?,logical,Select one answer,3 : Usually
category_Lifestyle and environment_ts_Sleeplessness...insomnia...Instance.0_1,Do you have trouble falling asleep at night or do you wake up in the middle of the night?,logical,Select one answer,1 : Never/rarely
category_Lifestyle and environment_ts_Sleeplessness...insomnia...Instance.0_3,Do you have trouble falling asleep at night or do you wake up in the middle of the night?,logical,Select one answer,3 : Usually
category_Lifestyle and environment_ts_Sleeplessness...insomnia...Instance.0_2,Do you have trouble falling asleep at night or do you wake up in the middle of the night?,logical,Select one answer,2 : Sometimes
category_Lifestyle and environment_ts_Snoring...Instance.0_2,Does your partner or a close relative or friend complain about your snoring?,logical,Select one answer,2 : No
category_Lifestyle and environment_ts_Snoring...Instance.0_1,Does your partner or a close relative or friend complain about your snoring?,logical,Select one answer,1 : Yes
category_Lifestyle and environment_ts_Daytime.dozing...sleeping...Instance.0_1,"How likely are you to doze off or fall asleep during the daytime when you don't mean to? (e.g. when working, reading or driving)",logical,Select one answer,1 : Sometimes
category_Lifestyle and environment_ts_Daytime.dozing...sleeping...Instance.0_2,"How likely are you to doze off or fall asleep during the daytime when you don't mean to? (e.g. when working, reading or driving)",logical,Select one answer,2 : Often
category_Lifestyle and environment_ts_Smoking.status...Instance.0_1,Current Field is partly derived from S1 & S2,logical,Select one answer,1 : Previous
category_Lifestyle and environment_ts_Smoking.status...Instance.0_0,Current Field is partly derived from S1 & S2,logical,Select one answer,0 : Never
category_Lifestyle and environment_ts_Current.tobacco.smoking...Instance.0_0,Do you smoke tobacco now?,logical,Select one answer,0 : No
category_Lifestyle and environment_ts_Current.tobacco.smoking...Instance.0_1,Do you smoke tobacco now?,logical,Select one answer,"1 : Yes, on most or all days"
category_Lifestyle and environment_ts_Past.tobacco.smoking...Instance.0_4,"In the past, how often have you smoked tobacco?",logical,Select one answer,4 : I have never smoked
category_Lifestyle and environment_ts_Past.tobacco.smoking...Instance.0_2,"In the past, how often have you smoked tobacco?",logical,Select one answer,2 : Smoked occasionally
category_Lifestyle and environment_ts_Past.tobacco.smoking...Instance.0_3,"In the past, how often have you smoked tobacco?",logical,Select one answer,3 : Just tried once or twice
category_Lifestyle and environment_ts_Light.smokers..at.least.100.smokes.in.lifetime...Instance.0_0,"In your lifetime, have you smoked a total of at least 100 times?",logical,Select one answer,0 : No
category_Lifestyle and environment_ts_Age.started.smoking.in.current.smokers...Instance.0_Lower.third,How old were you when you first started smoking on most days?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Age.started.smoking.in.current.smokers...Instance.0_Upper.third,How old were you when you first started smoking on most days?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Age.started.smoking.in.current.smokers...Instance.0_Middle.third,How old were you when you first started smoking on most days?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Type.of.tobacco.currently.smoked...Instance.0_1,What type of tobacco do you mainly smoke?,logical,Select one answer,1 : Manufactured cigarettes
category_Lifestyle and environment_ts_Type.of.tobacco.currently.smoked...Instance.0_2,What type of tobacco do you mainly smoke?,logical,Select one answer,2 : Hand-rolled cigarettes
category_Lifestyle and environment_ts_Type.of.tobacco.currently.smoked...Instance.0_3,What type of tobacco do you mainly smoke?,logical,Select one answer,3 : Cigars or pipes
category_Lifestyle and environment_ts_Previously.smoked.cigarettes.on.most.all.days...Instance.0_1,Did you previously smoke cigarettes on most or all days?,logical,Select one answer,1 : Yes
category_Lifestyle and environment_ts_Previously.smoked.cigarettes.on.most.all.days...Instance.0_0,Did you previously smoke cigarettes on most or all days?,logical,Select one answer,0 : No
category_Lifestyle and environment_ts_Number.of.cigarettes.currently.smoked.daily..current.cigarette.smokers....Instance.0_Upper.third,About how many cigarettes did you smoke on average each day?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Number.of.cigarettes.currently.smoked.daily..current.cigarette.smokers....Instance.0_Middle.third,About how many cigarettes did you smoke on average each day?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Age.stopped.smoking.cigarettes..current.cigar.pipe.or.previous.cigarette.smoker....Instance.0_Upper.third,How old were you when you last smoked cigarettes on most days?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Age.stopped.smoking.cigarettes..current.cigar.pipe.or.previous.cigarette.smoker....Instance.0_Middle.third,How old were you when you last smoked cigarettes on most days?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Number.of.cigarettes.previously.smoked.daily..current.cigar.pipe.smokers....Instance.0_Lower.third,About how many cigarettes do you smoke on average each day?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Number.of.cigarettes.previously.smoked.daily..current.cigar.pipe.smokers....Instance.0_Middle.third,About how many cigarettes do you smoke on average each day?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Time.from.waking.to.first.cigarette...Instance.0_2,How soon after waking do you smoke your first cigarette of the day?,logical,Select one answer,2 : Between 5-15 minutes
category_Lifestyle and environment_ts_Time.from.waking.to.first.cigarette...Instance.0_3,How soon after waking do you smoke your first cigarette of the day?,logical,Select one answer,3 : Between 30 minutes - 1 hour
category_Lifestyle and environment_ts_Time.from.waking.to.first.cigarette...Instance.0_1,How soon after waking do you smoke your first cigarette of the day?,logical,Select one answer,1 : Less than 5 minutes
category_Lifestyle and environment_ts_Time.from.waking.to.first.cigarette...Instance.0_4,How soon after waking do you smoke your first cigarette of the day?,logical,Select one answer,4 : Between 1 and 2 hours
category_Lifestyle and environment_ts_Difficulty.not.smoking.for.1.day...Instance.0_3,How easy or difficult would you find it to go without smoking for a whole day?,logical,Select one answer,3 : Fairly difficult
category_Lifestyle and environment_ts_Difficulty.not.smoking.for.1.day...Instance.0_4,How easy or difficult would you find it to go without smoking for a whole day?,logical,Select one answer,4 : Very difficult
category_Lifestyle and environment_ts_Ever.tried.to.stop.smoking...Instance.0_0,Have you tried to give up smoking?,logical,Select one answer,0 : No
category_Lifestyle and environment_ts_Ever.tried.to.stop.smoking...Instance.0_1,Have you tried to give up smoking?,logical,Select one answer,"1 : Yes, tried but was not able to stop or stopped for less than 6 months"
category_Lifestyle and environment_ts_Ever.tried.to.stop.smoking...Instance.0_2,Have you tried to give up smoking?,logical,Select one answer,"2 : Yes, tried and stopped for at least 6 months"
category_Lifestyle and environment_ts_Wants.to.stop.smoking...Instance.0_3,Do you want to stop smoking?,logical,Select one answer,"3 : No, probably not"
category_Lifestyle and environment_ts_Wants.to.stop.smoking...Instance.0_1,Do you want to stop smoking?,logical,Select one answer,"1 : Yes, definitely"
category_Lifestyle and environment_ts_Wants.to.stop.smoking...Instance.0_2,Do you want to stop smoking?,logical,Select one answer,"2 : Yes, probably"
category_Lifestyle and environment_ts_Wants.to.stop.smoking...Instance.0_4,Do you want to stop smoking?,logical,Select one answer,"4 : No, definitely not"
category_Lifestyle and environment_ts_Smoking.compared.to.10.years.previous...Instance.0_1,Compared to 10 years ago do you smoke...,logical,Select one answer,1 : More nowadays?
category_Lifestyle and environment_ts_Smoking.compared.to.10.years.previous...Instance.0_2,Compared to 10 years ago do you smoke...,logical,Select one answer,2 : About the same?
category_Lifestyle and environment_ts_Smoking.compared.to.10.years.previous...Instance.0_3,Compared to 10 years ago do you smoke...,logical,Select one answer,3 : Less nowadays?
category_Lifestyle and environment_ts_Why.reduced.smoking...Instance.0_neg7,Why did you reduce your smoking? (You can select more than one answer),logical,Select one answer,-7 : None of the above
category_Lifestyle and environment_ts_Why.reduced.smoking...Instance.0_3,Why did you reduce your smoking? (You can select more than one answer),logical,Toggle multiple answer,3 : Health precaution
category_Lifestyle and environment_ts_Why.reduced.smoking...Instance.0_4,Why did you reduce your smoking? (You can select more than one answer),logical,Toggle multiple answer,4 : Financial reasons
category_Lifestyle and environment_ts_Why.reduced.smoking...Instance.0_1,Why did you reduce your smoking? (You can select more than one answer),logical,Toggle multiple answer,1 : Illness or ill health
category_Lifestyle and environment_ts_Why.reduced.smoking...Instance.0_2,Why did you reduce your smoking? (You can select more than one answer),logical,Toggle multiple answer,2 : Doctor's advice
category_Lifestyle and environment_ts_Age.started.smoking.in.former.smokers...Instance.0_Lower.third,How old were you when you first started smoking on most days?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Age.started.smoking.in.former.smokers...Instance.0_Upper.third,How old were you when you first started smoking on most days?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Age.started.smoking.in.former.smokers...Instance.0_Middle.third,How old were you when you first started smoking on most days?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Type.of.tobacco.previously.smoked...Instance.0_1,What type of tobacco did you usually smoke?,logical,Select one answer,1 : Manufactured cigarettes
category_Lifestyle and environment_ts_Type.of.tobacco.previously.smoked...Instance.0_3,What type of tobacco did you usually smoke?,logical,Select one answer,3 : Cigars or pipes
category_Lifestyle and environment_ts_Number.of.cigarettes.previously.smoked.daily...Instance.0_Lower.third,About how many cigarettes did you smoke on average each day?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Number.of.cigarettes.previously.smoked.daily...Instance.0_Middle.third,About how many cigarettes did you smoke on average each day?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Age.stopped.smoking...Instance.0_Middle.third,How old were you when you last smoked on most days?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Ever.stopped.smoking.for.6..months...Instance.0_1,"In the time that you smoked, did you ever stop for more than 6 months?",logical,Select one answer,1 : Yes
category_Lifestyle and environment_ts_Ever.stopped.smoking.for.6..months...Instance.0_0,"In the time that you smoked, did you ever stop for more than 6 months?",logical,Select one answer,0 : No
category_Lifestyle and environment_ts_Why.stopped.smoking...Instance.0_2,"Why did you stop smoking?
(You can select more than one answer)",logical,Toggle multiple answer,2 : Doctor's advice
category_Lifestyle and environment_ts_Why.stopped.smoking...Instance.0_3,"Why did you stop smoking?
(You can select more than one answer)",logical,Toggle multiple answer,3 : Health precaution
category_Lifestyle and environment_ts_Why.stopped.smoking...Instance.0_4,"Why did you stop smoking?
(You can select more than one answer)",logical,Toggle multiple answer,4 : Financial reasons
category_Lifestyle and environment_ts_Why.stopped.smoking...Instance.0_neg7,"Why did you stop smoking?
(You can select more than one answer)",logical,Select one answer,-7 : None of the above
category_Lifestyle and environment_ts_Why.stopped.smoking...Instance.0_1,"Why did you stop smoking?
(You can select more than one answer)",logical,Toggle multiple answer,1 : Illness or ill health
category_Lifestyle and environment_ts_Number.of.unsuccessful.stop.smoking.attempts...Instance.0_Lower.third,How many times did you try to give up smoking before you were successful?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Number.of.unsuccessful.stop.smoking.attempts...Instance.0_Upper.third,How many times did you try to give up smoking before you were successful?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Number.of.unsuccessful.stop.smoking.attempts...Instance.0_Middle.third,How many times did you try to give up smoking before you were successful?,logical,Enter integer answer,
category_Lifestyle and environment_ts_Likelihood.of.resuming.smoking...Instance.0_4,Do you think you may start smoking again?,logical,Select one answer,"4 : No, definitely not"
category_Lifestyle and environment_ts_Likelihood.of.resuming.smoking...Instance.0_2,Do you think you may start smoking again?,logical,Select one answer,"2 : Yes, probably"
category_Lifestyle and environment_ts_Likelihood.of.resuming.smoking...Instance.0_3,Do you think you may start smoking again?,logical,Select one answer,"3 : No, probably not"
category_Lifestyle and environment_ts_Smoking.smokers.in.household...Instance.0_0,Does anyone in your household smoke?,logical,Select one answer,0 : No
category_Lifestyle and environment_ts_Exposure.to.tobacco.smoke.at.home...Instance.0_Upper.third,"At home, about how many hours per WEEK are you exposed to other people's tobacco smoke?",logical,Enter integer answer,
category_Lifestyle and environment_ts_Exposure.to.tobacco.smoke.at.home...Instance.0_Middle.third,"At home, about how many hours per WEEK are you exposed to other people's tobacco smoke?",logical,Enter integer answer,
category_Lifestyle and environment_ts_Exposure.to.tobacco.smoke.outside.home...Instance.0_Upper.third,"Outside of your home, about how many hours per WEEK are you exposed to other people's tobacco smoke?",logical,Enter integer answer,
category_Lifestyle and environment_ts_Exposure.to.tobacco.smoke.outside.home...Instance.0_Middle.third,"Outside of your home, about how many hours per WEEK are you exposed to other people's tobacco smoke?",logical,Enter integer answer,
category_Lifestyle and environment_ts_Oily.fish.intake...Instance.0_0,"How often do you eat oily fish?
(e.g. sardines, salmon, mackerel, herring)",logical,Select one answer,0 : Never
category_Lifestyle and environment_ts_Oily.fish.intake...Instance.0_1,"How often do you eat oily fish?
(e.g. sardines, salmon, mackerel, herring)",logical,Select one answer,1 : Less than once a week
category_Lifestyle and environment_ts_Oily.fish.intake...Instance.0_3,"How often do you eat oily fish?
(e.g. sardines, salmon, mackerel, herring)",logical,Select one answer,3 : 2-4 times a week
category_Lifestyle and environment_ts_Oily.fish.intake...Instance.0_5,"How often do you eat oily fish?
(e.g. sardines, salmon, mackerel, herring)",logical,Select one answer,5 : Once or more daily
category_Lifestyle and environment_ts_Non.oily.fish.intake...Instance.0_2,"How often do you eat other types of fish? (e.g. cod, tinned tuna, haddock)",logical,Select one answer,2 : Once a week
category_Lifestyle and environment_ts_Non.oily.fish.intake...Instance.0_1,"How often do you eat other types of fish? (e.g. cod, tinned tuna, haddock)",logical,Select one answer,1 : Less than once a week
category_Lifestyle and environment_ts_Non.oily.fish.intake...Instance.0_3,"How often do you eat other types of fish? (e.g. cod, tinned tuna, haddock)",logical,Select one answer,3 : 2-4 times a week
category_Lifestyle and environment_ts_Processed.meat.intake...Instance.0_1,"How often do you eat processed meats (such as bacon, ham, sausages, meat pies, kebabs, burgers, chicken nuggets)?",logical,Select one answer,1 : Less than once a week
category_Lifestyle and environment_ts_Processed.meat.intake...Instance.0_3,"How often do you eat processed meats (such as bacon, ham, sausages, meat pies, kebabs, burgers, chicken nuggets)?",logical,Select one answer,3 : 2-4 times a week
category_Lifestyle and environment_ts_Processed.meat.intake...Instance.0_4,"How often do you eat processed meats (such as bacon, ham, sausages, meat pies, kebabs, burgers, chicken nuggets)?",logical,Select one answer,4 : 5-6 times a week
category_Lifestyle and environment_ts_Processed.meat.intake...Instance.0_5,"How often do you eat processed meats (such as bacon, ham, sausages, meat pies, kebabs, burgers, chicken nuggets)?",logical,Select one answer,5 : Once or more daily
category_Lifestyle and environment_ts_Poultry.intake...Instance.0_3,"How often do you eat chicken, turkey or other poultry?
(Do not count processed meats)",logical,Select one answer,3 : 2-4 times a week
category_Lifestyle and environment_ts_Poultry.intake...Instance.0_2,"How often do you eat chicken, turkey or other poultry?
(Do not count processed meats)",logical,Select one answer,2 : Once a week
category_Lifestyle and environment_ts_Poultry.intake...Instance.0_4,"How often do you eat chicken, turkey or other poultry?
(Do not count processed meats)",logical,Select one answer,4 : 5-6 times a week
category_Lifestyle and environment_ts_Beef.intake...Instance.0_0,How often do you eat beef? (Do not count processed meats),logical,Select one answer,0 : Never
category_Lifestyle and environment_ts_Beef.intake...Instance.0_1,How often do you eat beef? (Do not count processed meats),logical,Select one answer,1 : Less than once a week
category_Lifestyle and environment_ts_Beef.intake...Instance.0_2,How often do you eat beef? (Do not count processed meats),logical,Select one answer,2 : Once a week
category_Lifestyle and environment_ts_Beef.intake...Instance.0_3,How often do you eat beef? (Do not count processed meats),logical,Select one answer,3 : 2-4 times a week
category_Lifestyle and environment_ts_Beef.intake...Instance.0_4,How often do you eat beef? (Do not count processed meats),logical,Select one answer,4 : 5-6 times a week
category_Lifestyle and environment_ts_Lamb.mutton.intake...Instance.0_0,How often do you eat lamb/mutton? (Do not count processed meats),logical,Select one answer,0 : Never
category_Lifestyle and environment_ts_Lamb.mutton.intake...Instance.0_1,How often do you eat lamb/mutton? (Do not count processed meats),logical,Select one answer,1 : Less than once a week
category_Lifestyle and environment_ts_Lamb.mutton.intake...Instance.0_2,How often do you eat lamb/mutton? (Do not count processed meats),logical,Select one answer,2 : Once a week
category_Lifestyle and environment_ts_Lamb.mutton.intake...Instance.0_3,How often do you eat lamb/mutton? (Do not count processed meats),logical,Select one answer,3 : 2-4 times a week
category_Lifestyle and environment_ts_Pork.intake...Instance.0_0,"How often do you eat pork?
(Do not count processed meats such as bacon or ham)",logical,Select one answer,0 : Never
category_Lifestyle and environment_ts_Pork.intake...Instance.0_1,"How often do you eat pork?
(Do not count processed meats such as bacon or ham)",logical,Select one answer,1 : Less than once a week
category_Lifestyle and environment_ts_Pork.intake...Instance.0_2,"How often do you eat pork?
(Do not count processed meats such as bacon or ham)",logical,Select one answer,2 : Once a week
category_Lifestyle and environment_ts_Pork.intake...Instance.0_3,"How often do you eat pork?
(Do not count processed meats such as bacon or ham)",logical,Select one answer,3 : 2-4 times a week
category_Lifestyle and environment_ts_Never.eat.eggs..dairy..wheat..sugar...Instance.0_5,Which of the following do you NEVER eat?(You can select more than one answer),logical,Toggle multiple answer,5 :I eat all of the above
category_Lifestyle and environment_ts_Never.eat.eggs..dairy..wheat..sugar...Instance.0_4,Which of the following do you NEVER eat?(You can select more than one answer),logical,Toggle multiple answer,4 : Sugar or foods/drinks containing sugar
category_Lifestyle and environment_ts_Never.eat.eggs..dairy..wheat..sugar...Instance.0_1,Which of the following do you NEVER eat?(You can select more than one answer),logical,Toggle multiple answer,1 : Eggs or foods containing eggs
category_Lifestyle and environment_ts_Never.eat.eggs..dairy..wheat..sugar...Instance.0_3,Which of the following do you NEVER eat?(You can select more than one answer),logical,Toggle multiple answer,3 : Wheat products
category_Lifestyle and environment_ts_Never.eat.eggs..dairy..wheat..sugar...Instance.0_2,Which of the following do you NEVER eat?(You can select more than one answer),logical,Toggle multiple answer,2 : Dairy products
category_Lifestyle and environment_ts_Cheese.intake...Instance.0_4,"How often do you eat cheese?
(Include cheese in pizzas, quiches, cheese sauce etc)",logical,Select one answer,4 : 5-6 times a week
category_Lifestyle and environment_ts_Cheese.intake...Instance.0_2,"How often do you eat cheese?
(Include cheese in pizzas, quiches, cheese sauce etc)",logical,Select one answer,2 : Once a week
category_Lifestyle and environment_ts_Cheese.intake...Instance.0_0,"How often do you eat cheese?
(Include cheese in pizzas, quiches, cheese sauce etc)",logical,Select one answer,0 : Never
category_Lifestyle and environment_ts_Cheese.intake...Instance.0_5,"How often do you eat cheese?
(Include cheese in pizzas, quiches, cheese sauce etc)",logical,Select one answer,5 : Once or more daily
category_Lifestyle and environment_ts_Milk.type.used...Instance.0_3,What type of milk do you mainly use?,logical,Select one answer,3 : Skimmed
category_Lifestyle and environment_ts_Milk.type.used...Instance.0_1,What type of milk do you mainly use?,logical,Select one answer,1 : Full cream
category_Lifestyle and environment_ts_Milk.type.used...Instance.0_4,What type of milk do you mainly use?,logical,Select one answer,4 : Soya
category_Lifestyle and environment_ts_Milk.type.used...Instance.0_6,What type of milk do you mainly use?,logical,Select one answer,6 : Never/rarely have milk
category_Lifestyle and environment_ts_Spread.type...Instance.0_3,What type of spread do you mainly use?,logical,Select one answer,3 : Other type of spread/margarine
category_Lifestyle and environment_ts_Spread.type...Instance.0_1,What type of spread do you mainly use?,logical,Select one answer,1 : Butter/spreadable butter
category_Lifestyle and environment_ts_Spread.type...Instance.0_0,What type of spread do you mainly use?,logical,Select one answer,0 : Never/rarely use spread
category_Lifestyle and environment_ts_Spread.type...Instance.0_2,What type of spread do you mainly use?,logical,Select one answer,2 : Flora Pro-Active or Benecol
category_Lifestyle and environment_ts_Non.butter.spread.type.details...Instance.0_9,What type of spread do you mainly use?,logical,Select one answer,9 : Other type of spread/margarine
category_Lifestyle and environment_ts_Non.butter.spread.type.details...Instance.0_6,What type of spread do you mainly use?,logical,Select one answer,6 : Olive oil based spread (eg: Bertolli)
category_Lifestyle and environment_ts_Non.butter.spread.type.details...Instance.0_4,What type of spread do you mainly use?,logical,Select one answer,4 : Soft (tub) margarine
category_Lifestyle and environment_ts_Non.butter.spread.type.details...Instance.0_2,What type of spread do you mainly use?,logical,Select one answer,2 : Flora Pro-Active or Benecol
category_Lifestyle and environment_ts_Bread.type...Instance.0_3,What type of bread do you mainly eat?,logical,Select one answer,3 : Wholemeal or wholegrain
category_Lifestyle and environment_ts_Bread.type...Instance.0_2,What type of bread do you mainly eat?,logical,Select one answer,2 : Brown
category_Lifestyle and environment_ts_Bread.type...Instance.0_1,What type of bread do you mainly eat?,logical,Select one answer,1 : White
category_Lifestyle and environment_ts_Cereal.type...Instance.0_3,What type of cereal do you mainly eat?,logical,Select one answer,"3 :Oat cereal (e.g. Ready Brek, porridge)"
category_Lifestyle and environment_ts_Cereal.type...Instance.0_2,What type of cereal do you mainly eat?,logical,Select one answer,2 :Biscuit cereal (e.g. Weetabix)
category_Lifestyle and environment_ts_Cereal.type...Instance.0_5,What type of cereal do you mainly eat?,logical,Select one answer,"5 :Other (e.g. Cornflakes, Frosties)"
category_Lifestyle and environment_ts_Cereal.type...Instance.0_4,What type of cereal do you mainly eat?,logical,Select one answer,4 :Muesli
category_Lifestyle and environment_ts_Salt.added.to.food...Instance.0_2,"Do you add salt to your food?
(Do not include salt used in cooking)",logical,Select one answer,2 : Sometimes
category_Lifestyle and environment_ts_Salt.added.to.food...Instance.0_1,"Do you add salt to your food?
(Do not include salt used in cooking)",logical,Select one answer,1 : Never/rarely
category_Lifestyle and environment_ts_Salt.added.to.food...Instance.0_3,"Do you add salt to your food?
(Do not include salt used in cooking)",logical,Select one answer,3 : Usually
category_Lifestyle and environment_ts_Salt.added.to.food...Instance.0_4,"Do you add salt to your food?
(Do not include salt used in cooking)",logical,Select one answer,4 : Always
category_Lifestyle and environment_ts_Coffee.type...Instance.0_2,What type of coffee do you usually drink?,logical,Select one answer,2 : Instant coffee
category_Lifestyle and environment_ts_Coffee.type...Instance.0_3,What type of coffee do you usually drink?,logical,Select one answer,"3 : Ground coffee (include espresso, filter etc)"
category_Lifestyle and environment_ts_Hot.drink.temperature...Instance.0_1,How do you like your hot drinks? (Such as coffee or tea),logical,Select one answer,1 : Very hot
category_Lifestyle and environment_ts_Major.dietary.changes.in.the.last.5.years...Instance.0_2,Have you made any major changes to your diet in the last 5 years?,logical,Select one answer,"2 : Yes, because of other reasons"
category_Lifestyle and environment_ts_Major.dietary.changes.in.the.last.5.years...Instance.0_1,Have you made any major changes to your diet in the last 5 years?,logical,Select one answer,"1 : Yes, because of illness"
category_Lifestyle and environment_ts_Variation.in.diet...Instance.0_2,Does your diet vary much from week to week?,logical,Select one answer,2 : Sometimes
category_Lifestyle and environment_ts_Variation.in.diet...Instance.0_3,Does your diet vary much from week to week?,logical,Select one answer,3 : Often
category_Lifestyle and environment_ts_Alcohol.drinker.status...Instance.0_2,Current Field is partly derived from A1 & A1A,logical,Select one answer,2 : Current
category_Lifestyle and environment_ts_Alcohol.drinker.status...Instance.0_1,Current Field is partly derived from A1 & A1A,logical,Select one answer,1 : Previous
category_Lifestyle and environment_ts_Alcohol.intake.frequency....Instance.0_5,About how often do you drink alcohol?,logical,Select one answer,5 :Special occasions only
category_Lifestyle and environment_ts_Alcohol.intake.frequency....Instance.0_1,About how often do you drink alcohol?,logical,Select one answer,1 :Daily or almost daily
category_Lifestyle and environment_ts_Alcohol.intake.frequency....Instance.0_2,About how often do you drink alcohol?,logical,Select one answer,2 :Three or four times a week
category_Lifestyle and environment_ts_Alcohol.intake.frequency....Instance.0_6,About how often do you drink alcohol?,logical,Select one answer,6 :Never
category_Lifestyle and environment_ts_Former.alcohol.drinker...Instance.0_0,Did you previously drink alcohol?,logical,Select one answer,0 : No
category_Lifestyle and environment_ts_Average.monthly.beer.plus.cider.intake...Instance.0_Upper.third,"In an average MONTH, how many pints of beer or cider would you drink?(Include bitter, lager, stout, ale, Guinness)",logical,Enter integer answer,
category_Lifestyle and environment_ts_Average.monthly.fortified.wine.intake...Instance.0_Upper.third,"In an average MONTH, how many glasses of fortified wine would you drink?(There are 12 glasses in an average bottle)(Fortified wines include drinks such as sherry, port, vermouth)",logical,Enter integer answer,
category_Lifestyle and environment_ts_Average.monthly.intake.of.other.alcoholic.drinks...Instance.0_Middle.third,"In an average MONTH, how many glasses of other alcoholic drinks (such as alcopops) would you drink?",logical,Enter integer answer,
category_Lifestyle and environment_ts_Average.weekly.red.wine.intake...Instance.0_Upper.third,"In an average WEEK, how many glasses of RED wine would you drink?(There are six glasses in an average bottle)",logical,Enter integer answer,
category_Lifestyle and environment_ts_Average.weekly.red.wine.intake...Instance.0_Middle.third,"In an average WEEK, how many glasses of RED wine would you drink?(There are six glasses in an average bottle)",logical,Enter integer answer,
category_Lifestyle and environment_ts_Average.weekly.champagne.plus.white.wine.intake...Instance.0_Upper.third,"In an average WEEK, how many glasses of WHITE wine or champagne would you drink?
(There are six glasses in an average bottle)",logical,Enter integer answer,
category_Lifestyle and environment_ts_Average.weekly.champagne.plus.white.wine.intake...Instance.0_Middle.third,"In an average WEEK, how many glasses of WHITE wine or champagne would you drink?
(There are six glasses in an average bottle)",logical,Enter integer answer,
category_Lifestyle and environment_ts_Average.weekly.beer.plus.cider.intake...Instance.0_Upper.third,"In an average WEEK, how many pints of beer or cider would you drink?
(Include bitter, lager, stout, ale, Guinness)",logical,Enter integer answer,
category_Lifestyle and environment_ts_Average.weekly.spirits.intake...Instance.0_Upper.third,"In an average WEEK, how many measures of spirits or liqueurs
would you drink?
(there are 25 standard measures in a normal sized bottle; spirits include drinks such as whisky, gin, rum, vodka, brandy)",logical,Enter integer answer,
category_Lifestyle and environment_ts_Average.weekly.spirits.intake...Instance.0_Middle.third,"In an average WEEK, how many measures of spirits or liqueurs
would you drink?
(there are 25 standard measures in a normal sized bottle; spirits include drinks such as whisky, gin, rum, vodka, brandy)",logical,Enter integer answer,
category_Lifestyle and environment_ts_Average.weekly.fortified.wine.intake...Instance.0_Upper.third,"In an average WEEK, how many glasses of fortified wine would you drink?
(There are 12 glasses in an average bottle; Fortified wines include drinks such as
sherry, port, vermouth)",logical,Enter integer answer,
category_Lifestyle and environment_ts_Average.weekly.fortified.wine.intake...Instance.0_Middle.third,"In an average WEEK, how many glasses of fortified wine would you drink?
(There are 12 glasses in an average bottle; Fortified wines include drinks such as
sherry, port, vermouth)",logical,Enter integer answer,
category_Lifestyle and environment_ts_Alcohol.usually.taken.with.meals...Instance.0_0,When you drink alcohol is it usually with meals?,logical,Select one answer,0 : No
category_Lifestyle and environment_ts_Alcohol.usually.taken.with.meals...Instance.0_neg6,When you drink alcohol is it usually with meals?,logical,Select one answer,-6 : It varies
category_Lifestyle and environment_ts_Alcohol.usually.taken.with.meals...Instance.0_1,When you drink alcohol is it usually with meals?,logical,Select one answer,1 : Yes
category_Lifestyle and environment_ts_Alcohol.intake.versus.10.years.previously...Instance.0_3,"Compared to 10 years ago, do you drink?",logical,Select one answer,3 : Less nowadays
category_Lifestyle and environment_ts_Alcohol.intake.versus.10.years.previously...Instance.0_1,"Compared to 10 years ago, do you drink?",logical,Select one answer,1 : More nowadays
category_Lifestyle and environment_ts_Alcohol.intake.versus.10.years.previously...Instance.0_2,"Compared to 10 years ago, do you drink?",logical,Select one answer,2 : About the same
category_Lifestyle and environment_ts_Reason.for.reducing.amount.of.alcohol.drunk...Instance.0_3,Why did you reduce the amount you drank?,logical,Select one answer,3 : Health precaution
category_Lifestyle and environment_ts_Reason.for.reducing.amount.of.alcohol.drunk...Instance.0_5,Why did you reduce the amount you drank?,logical,Select one answer,5 : Other reason
